Agency,Use Case ID,Use Case Name,Bureau/Component,Stage of Development (Raw),Stage of Development,Is the AI use case high-impact? (Raw),Is the AI use case high-impact?,Justification,Use Case Topic Area,AI Classification,What problem is the AI intended to solve?,What are the expected benefits and positive outcomes from the AI for an agency's mission and/or the general public?,Describe the AI system's outputs.,Date when AI use case became operational or the pilot's start date,Was the system involved in this use case purchased from a vendor or developed under contract(s) or in-house?,Vendor(s) Name,Does this AI use case have an associated Authorization to Operate (ATO)?,System(s) Name,"Describe any data used to train, fine-tune, and/or evaluate performance of the model(s) used in this use case.","If the data is required to be publicly disclosed as an open government data asset, provide a link to the entry on the Federal Data Catalog.",Does this AI use case involve personally identifiable information (PII) that is maintained by the agency?,"If publicly available, provide the link to the AI use case's associated Privacy Impact Assessment (PIA).","Which, if any, demographic variables does the AI use case explicitly use as model features?",Does this project include custom-developed code?,"If the code is open source, provide the link for the publicly available source code.",Has pre-deployment testing been conducted for this AI use case?,Has an AI impact assessment been completed for this AI use case?,What are the potential impacts of using the AI for this particular use case and how were they identified?,Has an independent review of the AI use case been conducted?,"Is there a process to conduct ongoing monitoring to identify any adverse impacts to the performance and security of the AI functionality, as well as to privacy, civil rights, and civil liberties?",Has the agency established sufficient and periodic training for operators of the AI to interpret and act on the its output and managed associated risks?,Does this AI use case have an appropriate fail-safe that minimizes the risk of significant harm?,Is there an established appeal process in the event that an impacted individual would like to appeal or contest the AI system's outcome?,What steps has the agency taken to consult and incorporate feedback from end users of this AI use case and the public?
National Aeronautics And Space Administration,NASA-704,Neural Scene Representations for Lunar Terrain Modeling,ARC: Ames Research Center,a) Pre-deployment – The use case is in a development or acquisition status.,Pre-deployment,c) Not high-impact,Not high-impact,,Science,Computer Vision,"We have developed LunarNRM, a novel neural surface reconstruction algorithm based on Neural Radiance Fields (NeRFs) that incorporates shadow-aware and depth-aware methodologies.","By integrating multi-sensor data from the Lunar Reconnaissance Orbiter (LRO)—specifically optical data from the Narrow Angle Camera (NAC) and altimeter data from the Lunar Orbiter Laser Altimeter (LOLA)—we have demonstrated that LunarNRM can effectively reconstruct these critical regions, directly supporting NASA’s Artemis campaign.","Our LunarNRM generates shadow-controlled Digital Elevation Models (DEMs) of the lunar surface, enabling accurate modeling and relighting of largely shadowed regions such as craters in the lunar south pole.",,,,,"Our LunarNRM generates shadow-controlled Digital Elevation Models (DEMs) of the lunar surface, enabling accurate modeling and relighting of largely shadowed regions such as craters in the lunar south pole.",,,,,,,,,,,,,,,,
National Aeronautics And Space Administration,NASA-705,Data Augmentation Pipeline for Zero-Shot Sim-to-Real Transfer in Vision-Based Robot Navigation,ARC: Ames Research Center,a) Pre-deployment – The use case is in a development or acquisition status.,Pre-deployment,c) Not high-impact,Not high-impact,,Science,Generative AI,"We developed a data augmentation pipeline to enhance the training of vision-based navigation models for robotics, addressing the challenges of limited real-world data.","By combining foundation model-based segmentation with CycleGAN for sim-to-real style transfer, our approach generates realistic, labeled images from synthetic data, enabling models to better generalize to real-world environments. This innovative capability enhances vision-based navigation tasks, such as vehicle pose estimation and road segmentation, significantly closing the sim-to-real gap in robotic perception applications.","realistic, labeled images from synthetic data",,,,,"realistic, labeled images from synthetic data",,,,,,,,,,,,,,,,
National Aeronautics And Space Administration,NASA-706,Safe Autonomous Taxiing with Vision-Based Navigation,ARC: Ames Research Center,a) Pre-deployment – The use case is in a development or acquisition status.,Pre-deployment,c) Not high-impact,Not high-impact,,Science,Computer Vision,"TaxiNet is a vision-based deep learning model developed to enable autonomous vehicles to follow a designated line safely during aircraft taxiing, a crucial application for assured autonomy research. This project’s goal is to demonstrate safe, closed-loop control using neural network perception from camera images, focusing on meeting rigorous safety standards for learning-enabled components (LECs) in safety-critical contexts.","TaxiNet is a vision-based deep learning model developed to enable autonomous vehicles to follow a designated line safely during aircraft taxiing, a crucial application for assured autonomy research. This project’s goal is to demonstrate safe, closed-loop control using neural network perception from camera images, focusing on meeting rigorous safety standards for learning-enabled components (LECs) in safety-critical contexts.","We developed both a physical rover for real-world testing and a simulator in Unreal Engine with a realistic NASA Ames campus model for extensive, simulation-based validation.",,,,,"We developed both a physical rover for real-world testing and a simulator in Unreal Engine with a realistic NASA Ames campus model for extensive, simulation-based validation.",,,,,,,,,,,,,,,,
National Aeronautics And Space Administration,NASA-708,"Global, Seasonal Mars Frost Maps",JPL: Jet Propulsion Laboratory,c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,Deployed,c) Not high-impact,Not high-impact,,Science,Classical/Predictive Machine Learning,Global frost Martian maps derived from five remote sensing datasets and processed with tools like CNNs and other data science techniques. Publicly available on JMARS,"(1) Mars seasonal frost maps that can be used by other researchers, enabling more time on analysis rather than data collection. (2) Demonstration of a deeply collaborative effort between data scientists and physical scientists.","Near-global maps showing detections of seasonal frost in visible datasets (HiRISE, CTX) with associated uncertainties.",11/01/2024 00:00:00,b) Developed in-house,,No,"Near-global maps showing detections of seasonal frost in visible datasets (HiRISE, CTX) with associated uncertainties.","Visible images acquired from orbit of the martian surface. Some images were human-labeled, then used in training, validation, and testing of the CNN.",,No,,,Yes,,,,,,,,,,
National Aeronautics And Space Administration,NASA-709,GenAI Agent for Interacting with Robots (https://github.com/nasa-jpl/rosa),JPL: Jet Propulsion Laboratory,b)  Pilot – The use case has been deployed in a limited test or pilot capacity.,Pilot,c) Not high-impact,Not high-impact,,Science,Generative AI,ROSA is an AI agent that integrates with the ROS ecosystem to help develop and operate robots using natural language. It is able to read live telemetry data from robotics systems and formulate answers to user queries.,ROSA is an AI agent that integrates with the ROS ecosystem to help develop and operate robots using natural language. It is able to read live telemetry data from robotics systems and formulate answers to user queries.,answers to user queries,2023-08-01 00:00:00,b) Developed in-house,,No,answers to user queries,live telemetry data from robotics systems,,No,,,Yes,,,,,,,,,,
National Aeronautics And Space Administration,NASA-711,SLIM: Software Lifecycle Improvement & Modernization,JPL: Jet Propulsion Laboratory,b)  Pilot – The use case has been deployed in a limited test or pilot capacity.,Pilot,c) Not high-impact,Not high-impact,,Information Technology,Generative AI,"Use GenAI to help automate integration of software best practices, including adding appropriate documents, testing plans, tests, etc.","Use GenAI to help automate integration of software best practices, including adding appropriate documents, testing plans, tests, etc.",software best practices,2022-02-01 00:00:00,b) Developed in-house,,No,software best practices,"documents, testing plans, tests, etc.",,No,,,Yes,,,,,,,,,,
National Aeronautics And Space Administration,NASA-712,Using LLMS for Documents and Requirements Analysis,JPL: Jet Propulsion Laboratory,b)  Pilot – The use case has been deployed in a limited test or pilot capacity.,Pilot,c) Not high-impact,Not high-impact,,Administrative functions,Natural Language Processing (NLP),Use GenAI to analyze documents and improve the requirements development process,Use GenAI to analyze documents and improve the requirements development process,analysis,2024-10-01 00:00:00,b) Developed in-house,,No,analysis,"documents, testing plans, tests, etc.",,No,,,Yes,,,,,,,,,,
National Aeronautics And Space Administration,NASA-715,Purchase Card Management System (PCMS),JPL: Jet Propulsion Laboratory,c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,Deployed,c) Not high-impact,Not high-impact,,Administrative functions,Classical/Predictive Machine Learning,Purchase card application uses ML model to suggest if a purchase may be a taggable asset or a chemical.,Purchase card application uses ML model to suggest if a purchase may be a taggable asset or a chemical.,Metadata tagging recommendation,11/15/2018 00:00:00,b) Developed in-house,,No,Metadata tagging recommendation,purchase card transactions,,No,,,Yes,,,,,,,,,,
National Aeronautics And Space Administration,NASA-716,New Technology and Software Reporting (NTR),JPL: Jet Propulsion Laboratory,c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,Deployed,c) Not high-impact,Not high-impact,,Administrative functions,Classical/Predictive Machine Learning,"NTR application uses ML model to suggest a Technology Category (e.g. Aerospace, Robotics) for the new technology being reported","NTR application uses ML model to suggest a Technology Category (e.g. Aerospace, Robotics) for the new technology being reported",Category classification,08/22/2024 00:00:00,b) Developed in-house,,No,Category classification,technology reports,,No,,,Yes,,,,,,,,,,
National Aeronautics And Space Administration,NASA-717,Artificial Intelligence Leveraged Information Capture and Exploration (ALICE) (ITMX),LaRC: Langley Research Center,a) Pre-deployment – The use case is in a development or acquisition status.,Pre-deployment,c) Not high-impact,Not high-impact,,Science,Natural Language Processing (NLP),The project will streamline the archiving of information and build an explorable knowledge graph of organizational communications. This project seeks to provide several significant benefits to the agency.,The project will streamline the archiving of information and build an explorable knowledge graph of organizational communications. This project seeks to provide several significant benefits to the agency.,The project will streamline the archiving of information and build an explorable knowledge graph of organizational communications. This project seeks to provide several significant benefits to the agency.,,,,,The project will streamline the archiving of information and build an explorable knowledge graph of organizational communications. This project seeks to provide several significant benefits to the agency.,,,,,,,,,,,,,,,,
National Aeronautics And Space Administration,NASA-718,TxP: Artificial Intelligence for Curation (AI-Cure),MSFC: Marshall Space Flight Center,a) Pre-deployment – The use case is in a development or acquisition status.,Pre-deployment,c) Not high-impact,Not high-impact,,Science,Classical/Predictive Machine Learning,The AI-CURE project will integrate advanced AI and machine learning models to automate and standardize data curation across NASA’s SMD databases.,"This will result in cost savings, faster data availability, improved data quality, and better support for NASA’s open science initiatives. This project enables NASA to advance data curation processes, accelerating scientific discovery while reducing manual effort and operational costs.",curated data,,,,,curated data,,,,,,,,,,,,,,,,
National Aeronautics And Space Administration,NASA-719,TxP: Federated Data Discovery and Content Creation (FDDCC) KDP-Formulation (ITMX),JSC: Johnson Space Center,a) Pre-deployment – The use case is in a development or acquisition status.,Pre-deployment,c) Not high-impact,Not high-impact,,Science,Generative AI,"The FDDCC project is guided by a set of core objectives aimed at transforming how data is accessed, managed, and utilized across the agency. These objectives focus on enhancing data discoverability, ensuring secure access, improving system scalability, and fostering a user-centered experience.","NASA has amassed a significant trove of data that holds the potential to drive advancements across numerous domains. However, the organization faces significant challenges in harnessing this potential. Much of its valuable data remains trapped within isolated legacy systems, creating silos that hinder efficient access and use. This segmentation is further complicated by the dual locations of these systems – both in the cloud and on-premises – with each presenting its unique set of access challenges due to firewalls, security control boundaries and other barriers. Numerous distributed systems within NASA provide localized search functions for their specific datasets. These capabilities, which cater to both structured and unstructured data, highlight the latent potential and need for a comprehensive approach that can unify and streamline data and information access across the entire organization. By developing a unified search interface, implementing robust identity and access management, creating a comprehensive data catalog, and building a scalable infrastructure, the FDDCC project seeks to empower users to efficiently find, access, and manage data. Additionally, the project emphasizes user satisfaction through continuous feedback and iterative improvements, ensuring that the platform meets the evolving needs of the agency.",a unified search interface,,,,,a unified search interface,,,,,,,,,,,,,,,,
National Aeronautics And Space Administration,NASA-721,Fast Machine Learning Lidar Surrogate Simulator: For Pristine Clear Sky,LaRC: Langley Research Center,a) Pre-deployment – The use case is in a development or acquisition status.,Pre-deployment,c) Not high-impact,Not high-impact,,Science,Classical/Predictive Machine Learning,ML base lidar radiative transfer simulation for clear sky,ML base lidar radiative transfer simulation for clear sky,ML base lidar radiative transfer simulation for clear sky,,,,,ML base lidar radiative transfer simulation for clear sky,,,,,,,,,,,,,,,,
