"SECTION 1: Use Case Identifiers
Complete this Section for the following Use Cases: Retired,  Pre-deployment, Pilot, and Deployed",,,,,,,,"SECTION 2: Use Case Summary
Complete this Section for the following Use Cases: Pre-deployment, Pilot, and Deployed",,,,,"SECTION 3: Documentation
Complete this Section for the following Use Cases: Pilot, and Deployed

",,,,,"SECTION 4: Data & Code
Complete this Section for the following Use Cases: Pilot, and Deployed",,,,,,,"
SECTION 5: Risk Management 
Complete this Section for the following Use Case: Deployed and if ""HIGH-IMPACT"" from SECTION 1

",,,,,,,,,,,,,,,,,,
DOI-0220,Wildlife species recognition and distance from camera estimation [2024 INV#WO0000000109245],USGS,caio@doi.gov,a) No,Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,need reliable population estimates of animal density,ability to obtain reliable population estimates of animal density,population estimates of animal density,,Developed in-house,,FALSE,,,,FALSE,,,FALSE,,,,,,,,,,,,,,,,,,,,
DOI-0219,Machine Learning to evaluate water quality [2024 INV#WO0000000109241],USGS,caio@doi.gov,a) No,Pilot – The use case has been deployed in a limited test or pilot capacity.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,Examining the effect of physicochemical and meteorological variables on water quality indicators of harmful algal blooms in a shallow hypereutrophic lake,Better understanding of physicochemical and meteorological variables on water quality indicators of harmful algal blooms in a shallow hypereutrophic lake,Better understanding of physicochemical and meteorological variables on water quality indicators of harmful algal blooms in a shallow hypereutrophic lake,9/30/2024,Developed in-house,,FALSE,,water-quality data,,FALSE,,None of the Above,FALSE,,,,,,,,,,,,,,,,,,,,
DOI-0218,Ecological niche models for bat species [2024 INV#WO0000000109233],USGS,caio@doi.gov,a) No,Pilot – The use case has been deployed in a limited test or pilot capacity.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,We are trying to understand what environmental factors determine the presence and absence of bat species across their range.,understand what environmental factors determine the presence and absence of bat species across their range,environmental factors that determine the presence and absence of bat species,1/1/2022,Developed in-house,,FALSE,,"bat presence locations, environmental raster data",,FALSE,,None of the Above,FALSE,,,,,,,,,,,,,,,,,,,,
DOI-0217,Development of a Strategic Framework for Use and Implementation of Machine Learning in Energy Resource Program Workflows [2024 INV#WO0000000109216],USGS,caio@doi.gov,a) No,Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,development of a strategic framework for integrating Energy Resources Program science with traditional information technology related platforms,position the ERP to more effectively deliver its unique data-driven information products,"(1) adoption of ML pipelines/models in ERP project workflows; (2) modernization of key ERP data assets through API extension ; and (3) technology transfer, targeted training, and multi-disciplinary career development for existing geospatial ERP workforce",,,,FALSE,,,,FALSE,,,FALSE,,,,,,,,,,,,,,,,,,,,
DOI-0216,"Quantifying Watershed Controls on Fine Sediment Flux to Lake Tahoe, California/Nevada [2024 INV#WO0000000109215]",USGS,caio@doi.gov,a) No,Pilot – The use case has been deployed in a limited test or pilot capacity.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,estimate watershed parameters of importance that drive sediment flux,Ability to better estimate watershed parameters of importance that drive sediment flux.,quantified watershed parameters,10/1/2019,Developed in-house,,FALSE,,"Stage and turbidity from NWIS, water balance variables from Western Land Data Assimilation (NASA) land surface model",,FALSE,,None of the Above,FALSE,,,,,,,,,,,,,,,,,,,,
DOI-0215,Seismology of Magmatic Injection [2024 INV#WO0000000109214],USGS,caio@doi.gov,a) No,Pilot – The use case has been deployed in a limited test or pilot capacity.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,understand the nature and dynamics of seismic sources associated with magmatic injection and magmatic transport,greater understanding of volcanic systems,understand the nature and dynamics of seismic sources associated with magmatic injection and magmatic transport,10/1/2023,Developed in-house,,FALSE,,"seismic data collected during the joint USGS/NSF Kilauea Imaging experiment , gravity data, and geodetic data",,FALSE,,None of the Above,FALSE,,,,,,,,,,,,,,,,,,,,
DOI-0214,Earthquake Catalog Development [2024 INV#WO0000000109208],USGS,caio@doi.gov,a) No,Pilot – The use case has been deployed in a limited test or pilot capacity.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,develop more complete and robust earthquake catalogs,"volcanic earthquake catalog enhancement using integrated detection, matched-filtering, and relocation tools",more complete and robust earthquake catalogs,10/1/2021,Developed in-house,,FALSE,,"Seismic data collected by HVO during a nodal deployment across Pahala, HI",,FALSE,,None of the Above,FALSE,,,,,,,,,,,,,,,,,,,,
DOI-0213,Seedling Identification and Percent Growth Analysis [2024 INV#WO0000000109200],USGS,caio@doi.gov,a) No,Pilot – The use case has been deployed in a limited test or pilot capacity.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,extraction of alphanumeric labels and analyze seedling growth in petri dish images,saving time and reducing human error,alphanumeric labels from petri dish images,10/1/2023,Developed in-house,,FALSE,,Numerous images of seedlings taken over a span of 5 days. Around 2000 images in total.,,FALSE,,None of the Above,FALSE,,,,,,,,,,,,,,,,,,,,
DOI-0212,Gulf Coast Geologic Energy Machine Learning [2024 INV#WO0000000109198],USGS,caio@doi.gov,a) No,Pilot – The use case has been deployed in a limited test or pilot capacity.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,predict expected ultimate recovery of shale oil wells,predict total organic carbon,ML model using elemental data to predict total organic carbon,10/1/2023,Developed in-house,,FALSE,,"oil and gas well productivity and resource recovery data and recovery decline curves, geological and oil/gas basin data",,FALSE,,None of the Above,FALSE,,,,,,,,,,,,,,,,,,,,
DOI-0211,Predicting Sparse (Geothermal) Resources Availability by using Machine Learning [2024 INV#WO0000000109195],USGS,caio@doi.gov,a) No,Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,"developing new ML metrics for evaluating model performance that work with sparse natural resources, addressing the extreme mathematical sparsity of these resources at the regional scale, and engineering new evidence layers to inform modeling workflows","increasing the explainability, reproducibility, and accessibility of the assessment modeling process",new ML metrics for evaluating model performance,,,,FALSE,,,,FALSE,,,FALSE,,,,,,,,,,,,,,,,,,,,
DOI-0210,Using machine learning to detect invasive bullfrogs [2024 INV#WO0000000109159],USGS,caio@doi.gov,a) No,Pilot – The use case has been deployed in a limited test or pilot capacity.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,Detecting bullfrogs along their invasion front in order to inform removal efforts,rapid detection,identification of invasive bullfrogs,5/1/2020,Developed in-house,,FALSE,,audio recordings,,FALSE,,None of the Above,FALSE,,,,,,,,,,,,,,,,,,,,
DOI-0209,"Deep Learning application for automated mapping of surficial landforms, surficial geological deposits, and abandoned mine sites from lidar-derived topography [2024 INV#WO0000000109153]",USGS,caio@doi.gov,a) No,Pilot – The use case has been deployed in a limited test or pilot capacity.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,"mapping of surficial landforms, surficial geological deposits, and abandoned mine sites",automation of mapping,"maps of surficial landforms, surficial geological deposits, and abandoned mine sites",10/1/2024,Developed in-house,,FALSE,,lidar-derived topography ,,FALSE,,None of the Above,FALSE,,,,,,,,,,,,,,,,,,,,
DOI-0208,Oil Spill Response for Ice-Covered Rivers [2024 INV#WO0000000109142],USGS,caio@doi.gov,a) No,Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,"The goal of this DOI Inland Oil Spill Preparedness Program (IOSPP) funded work is to provide rapid, near real-time information to oil spill response crews concerning about the safety of ice-covered areas","provide rapid, near real-time information to oil spill response crews concerning about the safety of ice-covered areas",near real-time information to oil spill response crews concerning about the safety of ice-covered areas,8/21/2023,Developed in-house,,FALSE,,unkown,,FALSE,,None of the Above,FALSE,,,,,,,,,,,,,,,,,,,,
DOI-0207,Pacific Northwest Stream Flow Permanence [2024 INV#WO0000000109137],USGS,caio@doi.gov,a) No,Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,streamflow classification of perennial versus non-perennial which is the charge of many land steward agencies ,inform management decisions that require streamflow classification of perennial versus non-perennial ,models used to inform management decisions that require streamflow classification of perennial versus non-perennial ,10/1/2023,Developed in-house,,FALSE,,unkown,,FALSE,,None of the Above,FALSE,,,,,,,,,,,,,,,,,,,,
DOI-0206,SAMPLE Toolbox [2024 INV#WO0000000109123],USGS,caio@doi.gov,a) No,Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,monitoring vegetation,ability for land managers to develop plans for monitoring vegetation,A toolbox for land managers to develop plans for monitoring vegetation,,Developed in-house,,FALSE,,,,FALSE,,,FALSE,,,,,,,,,,,,,,,,,,,,
DOI-0205,Mapping wildfire fuels in previously burned landscapes [2024 INV#WO0000000109121],USGS,caio@doi.gov,a) No,Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,understand how land management treatments affect the probability of reburning,understand how land management treatments affect the probability of reburning,probability of reburning,,,,FALSE,,,,FALSE,,,FALSE,,,,,,,,,,,,,,,,,,,,
DOI-0204,"Lava lake thermal pattern classification using self organizing maps and relationships to eruption processes at Kilauea Volcano, Hawaii [2024 INV#WO0000000109098]",USGS,caio@doi.gov,a) No,Pilot – The use case has been deployed in a limited test or pilot capacity.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,classify lava lake thermal patterns,ability to classify Lava lake thermal patterns from thermal infrared time-lapse imagery,classified lava lake thermal patterns,10/1/2018,Developed in-house,,FALSE,,infrared time-lapse imagery,,FALSE,,None of the Above,FALSE,,,,,,,,,,,,,,,,,,,,
DOI-0203,Advancing image-based surveys to support sea duck conservation along the Pacific Flyway [2024 INV#WO0000000109096],USGS,caio@doi.gov,a) No,Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,"Safety, expense, observer bias and lack of methodological consistency are rising concerns associated with observer-based surveys, making it imperative to transition to more sustainable methods.",Digital aerial surveys (DAS) that automate counts from aerial imagery using convolutional neural network (CNN) models are one way to improve survey safety and count accuracy.,"Standardized DAS for the lower Pacific Flyway to help maximize safety, while improving data consistency and model accuracy among important regions within the Flyway.",,,,FALSE,,,,FALSE,,,FALSE,,,,,,,,,,,,,,,,,,,,
